Id;Nome_Breve;Nome;R;Ruolo_Esteso;Qt.A;Qt.I;Qt.M;Diff.M;Squadra;FVM;FVM.M;Piede;Nazionalita;DataNascita;PhotoURL;Extra1;Extra2;Extra3;Pv;Mv;Fm;Gf;Ass;Amm;Esp
4431;Carnesecchi;Carnesecchi;P;Por;18;14;16;16;Atalanta;105.2;52;destro;Italia;01/07/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4431.png?v=647;;;;37;6.36;5.58;0;0;0;0
2170;Milinkovic-Savic V.;Milinkovic-Savic V.;P;Por;17;4;5;5;Napoli;101.2;10;destro;"Serbia;Spagna";20/02/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2170.png?v=647;;;;27;6.2;5.65;0;0;0;0
5841;Svilar;Svilar;P;Por;17;15;18;18;Roma;97.2;65;destro;"Serbia;Belgio";27/08/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5841.png?v=647;;;;38;6.26;5.45;0;0;0;0
6966;Butez;Butez;P;Por;16;10;16;16;Como;90.5;56;destro;Francia;08/06/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6966.png?v=647;;;;38;6.07;5.37;0;1;3;0
4312;Maignan;Maignan;P;Por;16;16;15;15;Milan;91.3;50;destro;"Francia;Guyana Francese";03/07/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4312.png?v=647;;;;37;6.26;5.42;0;0;4;0
5876;Di Gregorio;Di Gregorio;P;Por;15;16;9;9;Juventus;89.8;40;destro;Italia;27/07/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5876.png?v=647;;;;30;6.08;5.33;0;0;1;0
2134;Falcone;Falcone;P;Por;15;6;8;8;Lecce;69.0;25;destro;Italia;12/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2134.png?v=647;;;;38;6.41;5.22;0;0;2;0
6462;Okoye;Okoye;P;Por;14;6;9;9;Udinese;63.3;29;destro;"Nigeria;Germania";28/08/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6462.png?v=647;;;;30;6.07;5.08;0;1;1;1
2428;Sommer;Sommer;P;Por;13;16;;;Inter;86.5;;;;;;;;;33;5.92;5.02;0;0;0;0
4360;Caprile;Caprile;P;Por;12;7;9;9;Cagliari;54.0;27;destro;Italia;25/08/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4360.png?v=647;;;;38;6.29;4.87;0;0;2;0
